case,recommended_bess_buses,mean_congestion_reduction,max_congestion_reduction,mean_success_rate,no_bess_resilience,with_bess_resilience,no_bess_feasible,with_bess_feasible,mean_unserved_reduction_mw
ieee118,"[101, 83, 15]",2.697430756126306e-15,1.7763568394002505e-14,1.0,0.5833333333333334,0.9166666666666666,0.3333333333333333,0.6666666666666666,25.0
ieee30,"[19, 20, 18]",32.85974940982689,136.79358908234087,0.8888888888888888,0.5833333333333334,0.9166666666666666,0.3333333333333333,0.6666666666666666,25.0
